,index,date_local,time_local,sample_measurement,units_of_measure,sample_duration,sample_frequency,detection_limit
94,9030,2017-01-04,22:00,10.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
95,9029,2017-01-04,23:00,7.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
96,9028,2017-01-05,00:00,21.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
97,9027,2017-01-05,01:00,13.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
98,9026,2017-01-05,02:00,17.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
99,9025,2017-01-05,03:00,8.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
100,9024,2017-01-05,04:00,9.4,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
101,9023,2017-01-05,05:00,10.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
102,9022,2017-01-05,06:00,7.7,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
103,9021,2017-01-05,07:00,6.5,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
104,9020,2017-01-05,08:00,3.8,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
105,9019,2017-01-05,09:00,0.6,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
106,9018,2017-01-05,10:00,0.1,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
107,9017,2017-01-05,11:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
108,9016,2017-01-05,12:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
109,9015,2017-01-05,13:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
110,9014,2017-01-05,14:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
111,9013,2017-01-05,15:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
112,9012,2017-01-05,16:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
113,9011,2017-01-05,17:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
114,9010,2017-01-05,18:00,,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0
